Слово                           Абс. частота  Отн. частота, %
анализу                                    9            0.082
научная                                    9            0.082
взаимодействие                             9            0.082
других                                     9            0.082
подхода                                    9            0.082
менее                                      8           0.0729
английского                                8           0.0729
функций                                    8           0.0729
под                                        8           0.0729
есть                                       8           0.0729
вестник                                    8           0.0729
разговорной                                8           0.0729
интересы                                   8           0.0729
кон                                        8           0.0729
развитие                                   8           0.0729
которая                                    8           0.0729
новейшей                                   8           0.0729
описания                                   8           0.0729
часть                                      8           0.0729
сти                                        8           0.0729
стратегии                                  8           0.0729
контейнер                                  8           0.0729
области                                    8           0.0729
участников                                 8           0.0729
цели                                       8           0.0729
данных                                     8           0.0729
семьи                                      8           0.0729
организма                                  8           0.0729
спорта                                     8           0.0729
метафорических                             8           0.0729
политического                              8           0.0729
этого                                      8           0.0729
потенциал                                  8           0.0729
этой                                       8           0.0729
тем                                        8           0.0729
апартеида                                  8           0.0729
политическом                               8           0.0729
человека                                   7           0.0638
выявить                                    7           0.0638
становится                                 7           0.0638
представлена                               7           0.0638
международных                              7           0.0638
быть                                       7           0.0638
примере                                    7           0.0638
представление                              7           0.0638
описание                                   7           0.0638
науки                                      7           0.0638
ния                                        7           0.0638
только                                     7           0.0638
поэтическом                                7           0.0638
практики                                   7           0.0638
сотрудник                                  7           0.0638
отношения                                  7           0.0638
дом                                        7           0.0638
национальный                               7           0.0638
испания                                    7           0.0638
захаркив                                   7           0.0638
поэтический                                7           0.0638
корпусов                                   7           0.0638
академии                                   7           0.0638
русской                                    7           0.0638
поэтической                                7           0.0638
структуру                                  7           0.0638
российского                                7           0.0638
ные                                        7           0.0638
характеристики                             7           0.0638
ского                                      7           0.0638
нового                                     7           0.0638
правил                                     7           0.0638
отличие                                    7           0.0638
социальные                                 7           0.0638
генерических                               7           0.0638
института                                  7           0.0638
интересов                                  7           0.0638
российской                                 7           0.0638
мета                                       7           0.0638
стран-участниц                             7           0.0638
контекстах                                 7           0.0638
этом                                       7           0.0638
все                                        7           0.0638
понимания                                  7           0.0638
чудинов                                    7           0.0638
особенно                                   7           0.0638
схема                                      7           0.0638
дома                                       7           0.0638
создание                                   7           0.0638
государственного                           7           0.0638
силы                                       7           0.0638
отношений                                  7           0.0638
общей                                      7           0.0638
метафорического                            6           0.0547
лингвистической                            6           0.0547
был                                        6           0.0547
котором                                    6           0.0547
общих                                      6           0.0547
другими                                    6           0.0547
значения                                   6           0.0547
контекста                                  6           0.0547
всех                                       6           0.0547
политических                               6           0.0547
несмотря                                   6           0.0547
исследовании                               6           0.0547
частотность                                6           0.0547
настоящее                                  6           0.0547
кафедры                                    6           0.0547
политической                               6           0.0547
авторе                                     6           0.0547
ствия                                      6           0.0547
тело                                       6           0.0547
поэтика                                    6           0.0547
когнитивной                                6           0.0547
акцент                                     6           0.0547
метафорический                             6           0.0547
напротив                                   6           0.0547
проблемы                                   6           0.0547
материале                                  6           0.0547
точки                                      6           0.0547
междометия                                 6           0.0547
новые                                      6           0.0547
обусловлена                                6           0.0547
достижения                                 6           0.0547
журнал                                     6           0.0547
зрения                                     6           0.0547
сила                                       6           0.0547
русского                                   6           0.0547
единицами                                  6           0.0547
ольга                                      6           0.0547
качестве                                   6           0.0547
контекстов                                 6           0.0547
испанский                                  6           0.0547
можно                                      6           0.0547
авторах                                    6           0.0547
представляет                               6           0.0547
когда                                      6           0.0547
прагматику                                 6           0.0547
собой                                      6           0.0547
знака                                      6           0.0547
особенности                                6           0.0547
взгляд                                     6           0.0547
целое                                      6           0.0547
животного                                  6           0.0547
глобального                                6           0.0547
механизм                                   6           0.0547
про                                        6           0.0547
фоне                                       6           0.0547
движение                                   5           0.0456
три                                        5           0.0456
прагмалингвистика                          5           0.0456
средств                                    5           0.0456
метатекстовые                              5           0.0456
образов                                    5           0.0456
них                                        5           0.0456
которое                                    5           0.0456
невозможно                                 5           0.0456
итак                                       5           0.0456
глав                                       5           0.0456
движения                                   5           0.0456
учетом                                     5           0.0456
являются                                   5           0.0456
прагматике                                 5           0.0456
данный                                     5           0.0456
происходит                                 5           0.0456
испанском                                  5           0.0456
исследовательский                          5           0.0456
показывают                                 5           0.0456
изучение                                   5           0.0456
корпусное                                  5           0.0456
ность                                      5           0.0456
английском                                 5           0.0456
исследователи                              5           0.0456
одновременно                               5           0.0456
вносит                                     5           0.0456
целом                                      5           0.0456
адресата                                   5           0.0456
ется                                       5           0.0456
социального                                5           0.0456
систему                                    5           0.0456
дискур                                     5           0.0456
местоимений                                5           0.0456
работы                                     5           0.0456
образ-схема                                5           0.0456
целью                                      5           0.0456
контакта                                   5           0.0456
выступает                                  5           0.0456
идея                                       5           0.0456
такие                                      5           0.0456
страны                                     5           0.0456
теория                                     5           0.0456
теоретических                              5           0.0456
речь                                       5           0.0456
международного                             5           0.0456
межкультурная                              5           0.0456
подходы                                    5           0.0456
счет                                       5           0.0456
правила                                    5           0.0456
небесное                                   5           0.0456
частотным                                  5           0.0456
акты                                       5           0.0456
многополярного                             5           0.0456
управления                                 5           0.0456
ных                                        5           0.0456
понимание                                  5           0.0456
языки                                      5           0.0456
английский                                 5           0.0456
участия                                    5           0.0456
кроме                                      5           0.0456
речевой                                    5           0.0456
строительство                              5           0.0456
семиотика                                  5           0.0456
место                                      5           0.0456
перспективы                                5           0.0456
корпусная                                  5           0.0456
санкт-петербург                            5           0.0456
языках                                     5           0.0456
ции                                        5           0.0456
центр                                      5           0.0456
журнала                                    5           0.0456
философии                                  5           0.0456
русский                                    5           0.0456
слов                                       5           0.0456
серия                                      5           0.0456
времени                                    5           0.0456
представляется                             5           0.0456
факторов                                   5           0.0456
ситуации                                   5           0.0456
американской                               5           0.0456
возможности                                5           0.0456
система                                    5           0.0456
кто                                        5           0.0456
сдвиги                                     5           0.0456
современного                               5           0.0456
корпусный                                  5           0.0456
корпусные                                  5           0.0456
данные                                     5           0.0456
ный                                        5           0.0456
семантика                                  5           0.0456
основан                                    5           0.0456
внутри                                     5           0.0456
понятия                                    5           0.0456
подчеркивает                               5           0.0456
позволяют                                  5           0.0456
разграничение                              5           0.0456
понятие                                    5           0.0456
образом                                    5           0.0456
российском                                 5           0.0456
частности                                  5           0.0456
спорт                                      4           0.0365
акцентом                                   4           0.0365
входят                                     4           0.0365
границы                                    4           0.0365
определение                                4           0.0365
внешних                                    4           0.0365
особенностей                               4           0.0365
южно-уральский                             4           0.0365
сферы-источника                            4           0.0365
война                                      4           0.0365
айги                                       4           0.0365
соответствии                               4           0.0365
роста                                      4           0.0365
влияние                                    4           0.0365
либо                                       4           0.0365
российских                                 4           0.0365
моделям                                    4           0.0365
возможность                                4           0.0365
испанской                                  4           0.0365
они                                        4           0.0365
взаимодей                                  4           0.0365
вопросы                                    4           0.0365
среди                                      4           0.0365
считать                                    4           0.0365
служит                                     4           0.0365
смыслы                                     4           0.0365
образы                                     4           0.0365
данного                                    4           0.0365
виде                                       4           0.0365
зарубежных                                 4           0.0365
применение                                 4           0.0365
зависимости                                4           0.0365
спонтанной                                 4           0.0365
задает                                     4           0.0365
включают                                   4           0.0365
недостаточно                               4           0.0365
уровень                                    4           0.0365
активно                                    4           0.0365
семья                                      4           0.0365
относится                                  4           0.0365
элементами                                 4           0.0365
основу                                     4           0.0365
рассматривает                              4           0.0365
итальянской                                4           0.0365
сфера                                      4           0.0365
сферы                                      4           0.0365
характер                                   4           0.0365
конструкций                                4           0.0365
темы                                       4           0.0365
выражают                                   4           0.0365
область                                    4           0.0365
дискурс-анализ                             4           0.0365
коммуникативных                            4           0.0365
раздел                                     4           0.0365
первом                                     4           0.0365
научной                                    4           0.0365
сфере                                      4           0.0365
вызов                                      4           0.0365
технологий                                 4           0.0365
благодаря                                  4           0.0365
наиболее                                   4           0.0365
важную                                     4           0.0365
ние                                        4           0.0365
альтернативных                             4           0.0365
принцип                                    4           0.0365
способствует                               4           0.0365
формирования                               4           0.0365
формировании                               4           0.0365
воздействия                                4           0.0365
дискурсивный                               4           0.0365
медиалингвистики                           4           0.0365
идентичности                               4           0.0365
объединение                                4           0.0365
геополитической                            4           0.0365
исследовательских                          4           0.0365
прагматической                             4           0.0365
ческие                                     4           0.0365
будапешт                                   4           0.0365
венгрия                                    4           0.0365
разных                                     4           0.0365
степанова                                  4           0.0365
знания                                     4           0.0365
транскодирование                           4           0.0365
викторовна                                 4           0.0365
философия                                  4           0.0365
большой                                    4           0.0365
современном                                4           0.0365
ской                                       4           0.0365
зима                                       4           0.0365
часто                                      4           0.0365
выявления                                  4           0.0365
деятельность                               4           0.0365
внутренней                                 4           0.0365
формирование                               4           0.0365
рецензия                                   4           0.0365
монографию                                 4           0.0365
уже                                        4           0.0365
николаевна                                 4           0.0365
национальных                               4           0.0365
второй                                     4           0.0365
делается                                   4           0.0365
южноафриканской                            4           0.0365
монография                                 4           0.0365
основные                                   4           0.0365
использования                              4           0.0365
фактор                                     4           0.0365
методы                                     4           0.0365
средства                                   4           0.0365
аспектов                                   4           0.0365
старший                                    4           0.0365
там                                        4           0.0365
порядка                                    4           0.0365
два                                        4           0.0365
высказываний                               4           0.0365
материала                                  4           0.0365
работе                                     4           0.0365
функционирования                           4           0.0365
другие                                     4           0.0365
курсе                                      4           0.0365
новой                                      4           0.0365
могут                                      4           0.0365
корпусной                                  4           0.0365
набор                                      4           0.0365
коммуникация                               4           0.0365
специфику                                  4           0.0365
показывает                                 4           0.0365
элементы                                   4           0.0365
элементов                                  4           0.0365
опыта                                      4           0.0365
страна                                     4           0.0365
ной                                        4           0.0365
необходимость                              4           0.0365
курса                                      4           0.0365
принципы                                   4           0.0365
опытом                                     4           0.0365
изучению                                   4           0.0365
служат                                     4           0.0365
норм                                       4           0.0365
преодоления                                4           0.0365
внимание                                   4           0.0365
структуры                                  4           0.0365
уровне                                     4           0.0365
метафорические                             4           0.0365
африки                                     4           0.0365
современных                                4           0.0365
частицы                                    4           0.0365
определения                                4           0.0365
формульность                               4           0.0365
лето                                       4           0.0365
фреймы                                     4           0.0365
авторов                                    4           0.0365
национального                              4           0.0365
такого                                     4           0.0365
школа                                      4           0.0365
ученые                                     4           0.0365
глаголов                                   4           0.0365
разделов                                   4           0.0365
поле                                       4           0.0365
средством                                  4           0.0365
организм                                   4           0.0365
модальных                                  4           0.0365
подходов                                   4           0.0365
мирового                                   3           0.0273
создается                                  3           0.0273
проекта                                    3           0.0273
предопределяет                             3           0.0273
метафориче                                 3           0.0273
публикаций                                 3           0.0273
смыслопорождения                           3           0.0273
тона                                       3           0.0273
концепции                                  3           0.0273
актов                                      3           0.0273
речевых                                    3           0.0273
моделью                                    3           0.0273
международной                              3           0.0273
объект                                     3           0.0273
исторического                              3           0.0273
сегментация                                3           0.0273
позиционирование                           3           0.0273
идеологическое                             3           0.0273
германия                                   3           0.0273
литературы                                 3           0.0273
занимает                                   3           0.0273
литературе                                 3           0.0273
особым                                     3           0.0273
существующей                               3           0.0273
человек                                    3           0.0273
сер                                        3           0.0273
расширяет                                  3           0.0273
межгосударственного                        3           0.0273
дударева                                   3           0.0273
иностранных                                3           0.0273
поэзией                                    3           0.0273
лежащих                                    3           0.0273
принципов                                  3           0.0273
интеграции                                 3           0.0273
инструментом                               3           0.0273
ценностей                                  3           0.0273
повестки                                   3           0.0273
греция                                     3           0.0273
афины                                      3           0.0273
каподистрии                                3           0.0273
традиционной                               3           0.0273
подтверждение                              3           0.0273
семантических                              3           0.0273
государств                                 3           0.0273
фреймов                                    3           0.0273
концеп                                     3           0.0273
стратегических                             3           0.0273
рассматриваются                            3           0.0273
хотя                                       3           0.0273
анализируются                              3           0.0273
мировой                                    3           0.0273
клещенко                                   3           0.0273
объединению                                3           0.0273
взаимозависимости                          3           0.0273
автономию                                  3           0.0273
индии                                      3           0.0273
мадрид                                     3           0.0273
художественном                             3           0.0273
интерактивно-функционального               3           0.0273
совокупности                               3           0.0273
описывает                                  3           0.0273
связанные                                  3           0.0273
значение                                   3           0.0273
рецензируемая                              3           0.0273
сообщества                                 3           0.0273
научного                                   3           0.0273
валенсия                                   3           0.0273
валенсии                                   3           0.0273
политика                                   3           0.0273
великобритания                             3           0.0273
испанского                                 3           0.0273
специфики                                  3           0.0273
тексте                                     3           0.0273
поэзия                                     3           0.0273
семантики                                  3           0.0273
последовательно                            3           0.0273
политики                                   3           0.0273
соответствует                              3           0.0273
мер                                        3           0.0273
исследовательской                          3           0.0273
парламентском                              3           0.0273
